day,distance(m)
2024-07-02,4200.0
2024-07-03,2200.0
2024-07-04,2000.0
2024-07-05,1500.0
2024-07-06,3500.0
2024-07-07,1500.0
2024-07-08,1200.0
2024-07-09,166.0
2024-07-10,188.0
2024-07-11,914.0
2024-07-12,46.0
2024-07-13,6800.0
2024-07-14,4400.0
2024-07-15,6400.0
2024-07-16,5200.0
2024-07-17,5600.0
2024-07-18,7200.0
2024-07-19,4300.0
2024-07-20,8300.0
2024-07-21,1900.0
2024-07-22,1800.0
2024-07-23,631.0
2024-07-24,657.0
2024-07-25,4200.0
2024-07-26,241.0
2024-07-27,5200.0
2024-07-28,1200.0
2024-07-29,288.0
2024-07-30,225.0
2024-07-31,3200.0
2024-08-01,1900.0
2024-08-02,1700.0
2024-08-03,4200.0
2024-08-04,1700.0
2024-08-05,217.0
2024-08-06,197.0
2024-08-07,5800.0
2024-08-08,2600.0
2024-08-09,4600.0
2024-08-10,1300.0
2024-08-11,1400.0
2024-08-12,588.0
2024-08-13,1800.0
2024-08-14,5600.0
2024-08-15,1500.0
2024-08-16,2000.0
2024-08-17,3300.0
2024-08-18,3400.0
2024-08-19,1500.0
2024-08-20,699.0
2024-08-21,2100.0
2024-08-22,4100.0
2024-08-23,2900.0
2024-08-24,1900.0
2024-08-25,1200.0
2024-08-26,1200.0
2024-08-27,80.0
2024-08-28,109.0
2024-08-29,3900.0
2024-08-30,249.0
2024-08-31,4300.0
2024-09-01,1900.0
2024-09-02,4300.0
2024-09-03,130.0
2024-09-04,191.0
2024-09-05,72.0
2024-09-06,49.0
2024-09-07,1100.0
2024-09-08,836.0
2024-09-09,82.0
2024-09-10,131.0
2024-09-11,71.0
2024-09-12,6700.0
